Club Name,City,Stadium,Country,Est. Date,User Name,Logo
Aalborg BK,,,Denmark,,,
Aberdeen FC,,,Scotland,,,50122.png
Celtic FC,,,Scotland,,,50050.png
FC Zenit Saint Petersburg,,Petrovsky Stadium,Russia,,,52826.png
Basel FC,,,Switzerland,1893,,59856.png
FC Academia Chisinau,,,,,,
KS Ada Velipoje,,,,,,
AEK Futsal,,,,,,
AEL Limassol FC,,,,,,
Afrika,,,,,,
AIK,,,,,,
Akademia Elpides Karditsas,,,,,,
FC Akzhayik,,,,,,
Clube de Albergaria,,,,,,
Ammanford Futsal Club,,,,,,
Anorthosis Famagusta FC,,,,,,
AORC/Palestra,,,,,,
Apollon Limassol,,,,,,
Tallinna FC Ararat,,,,,,
Aris Limassol FC,,,,,,
Arras FCF,,,,,,
AS Muret,,,,,,
FC Ashdod,,,,,,
ATEKS-SDUShOR,,,,,,
FK Atlantas,,,,,,
ATEKS-SDUShOR,,,,,,
Atlético Ouriense,,,,,,
FC Augsburg,,,,,,
Arsenal,,,England,,,52280.png
Aston Villa,,,England,,,52683.png
Barnsley,,,England,,,
Birmingham City,,,England,,,
Blackburn Rovers,,,England,,,53355.png
Blackpool,,,England,,,
Bolton Wanderers,,,England,,,
Bournemouth,,,England,,,
Bradford City,,,England,,,
Burnley,,,England,,,
Cardiff City,,,England,,,
Charlton Athletic,,,England,,,69598.png
Chelsea,,,England,,,52914.png
Coventry City,,,England,,,
Crystal Palace,,,England,,,
Derby County,,,England,,,
Everton,,,England,,,52281.png
Fulham,,,England,,,
Hull City,,,England,,,
Ipswich Town,,,England,,,
Leeds United,,,England,,,
Leicester City,,,England,,,
Liverpool,Liverpool,,England,,,7889.png
Manchester City,,,England,,,52919.png
Manchester United,,,England,,,52682.png
Middlesbrough,,,England,,,
Newcastle United,,,England,,,
Norwich City,,,England,,,
Nottingham Forest,,,England,,,
Oldham Athletic,,,England,,,
Portsmouth,,,England,,,
Queens Park,,,England,,,52282.png
Rangers,,,England,,,
Reading,,,England,,,93338.png
Sheffield United,,,England,,,
Sheffield Wednesday FC,,,England,,,52922.png
Southampton,,,England,,,
Stoke City,,,England,,,53356.png
Sunderland,,,England,,,
Swansea City,,,England,,,52659.png
Swindon Town,,,England,,,
Tottenham Hotspur,,,England,,,1652.png
Watford,,,England,,,
West Bromwich,,,England,,,53359.png
Albion,,,England,,,
West Ham United,,,England,,,53358.png
Wigan Athletic,,,England,,,89696.png
Wimbledon,,,England,,,
Wolverhampton,,,England,,,
Wanderers,,,England,,,
Athletic Bilbao,Bilbao,,Spain,,,50125.png
Atlético Madrid,Madrid,,Spain,,,50124.png
Barcelona FC,Barcelona,,Spain,,,50080.png
Betis,Sevilla,,Spain,,,
Celta Vigo,Vigo,,Spain,,,
Deportivo La Coruña,A Coruña,,Spain,,,
Eibar,Eibar,,Spain,,,
Espanyol,Barcelona,,Spain,,,
Getafe,Getafe,,Spain,,,
Granada,Granada,,Spain,,,
Las Palmas,Las Palmas de Gran Canaria,,Spain,,,
Levante,Valencia,,Spain,,,
Málaga,Málaga,,Spain,,,
Rayo Vallecano,Madrid,,Spain,,,
Real Madrid,Madrid,,Spain,,,50051.png
Real Sociedad,San Sebastián,,Spain,,,
Sevilla,Seville,,Spain,,,
Sporting de Gijón,Gijón,,Spain,,,
Valencia,Valencia,,Spain,,,52268.png
Villarreal,Villarreal,,Spain,,,
Atalanta,Bergamo,Stadio Atleti Azzurri d'Italia,Italy,,,52816.png
Cagliari,Cagliari,Stadio Sant'Elia,Italy,,,
Cesena,Cesena,Stadio Dino Manuzzi,Italy,,,
Chievo,Verona,Stadio Marc'Antonio Bentegodi,Italy,,,
Empoli,Empoli,Stadio Carlo Castellani,Italy,,,64107.png
Fiorentina,Florence,Stadio Artemio Franchi,Italy,,,52817.png
Genoa,Genoa,Stadio Luigi Ferraris,Italy,,,52972.png
Internazionale,Milan,San Siro,Italy,,,50138.png
Juventus,Turin,Juventus Stadium,Italy,,,50139.png
Lazio,Rome,Stadio Olimpico,Italy,,,52973.png
AC Milan,Milan,San Siro,Italy,,,50058.png
Napoli,Naples,Stadio San Paolo,Italy,,,50136.png
Palermo,Palermo,Stadio Renzo Barbera,Italy,,,88182.png
Parma,Parma,Stadio Ennio Tardini,Italy,,,
Roma,Rome,Stadio Olimpico,Italy,,,50137.png
Sampdoria,Genoa,Stadio Luigi Ferraris,Italy,,,50089.png
Sassuolo,Sassuolo1,Mapei Stadium,Italy,,,
Torino,Turin,Olimpico di Torino,Italy,,,50029.png
Udinese,Udine,Stadio Friuli,Italy,,,
Hellas Verona,Verona,Stadio Marc'Antonio Bentegodi,Italy,,,52301.png
Avellino,Avellino,Partenio,Italy,,,
Bari,Bari,San Nicola,Italy,,,52968.png
Bologna FC,Bologna,Renato Dall'Ara,Italy,,,52969.png
Brescia,Brescia,Mario Rigamonti,Italy,,,52972.png
Carpi,Carpi,Sandro Cabassi,Italy,,,
Catania,Catania,Angelo Massimino,Italy,,,
Cittadella,Cittadella,Pier Cesare Tombolato,Italy,,,
Crotone,Crotone,Ezio Scida,Italy,,,
Frosinone,Frosinone,Matusa,Italy,,,
Latina,Latina,Domenico Francioni,Italy,,,
Livorno,Livorno,Armando Picchi,Italy,,,88183.png
Modena,Modena,Alberto Braglia,Italy,,,
Perugia,Perugia,Renato Curi,Italy,,,
Pescara,Pescara,Adriatico,Italy,,,
Pro Vercelli,Vercelli,Silvio Piola,Italy,,,
Spezia,La Spezia,Alberto Picco,Italy,,,
Ternana,Terni,Libero Liberati,Italy,,,
Trapani,Trapani,Provinciale,Italy,,,
Varese,Varese,Franco Ossola,Italy,,,
Vicenza,Vicenza,Romeo Menti,Italy,,,
Virtus Entella,Chiavari,Comunale,Italy,,,
Virtus Lanciano,Lanciano,Guido Biondi,Italy,,,
TSV 1860 München,Munich,,Germany,,,
VfR Aalen,Aalen,,Germany,,,
Alemannia Aachen,Aachen,,Germany,,,
BFC Alemannia 90 Wacker,Berlin,,Germany,,,
FC Altona 93,Hamburg,,Germany,,,
FC Anker Wismar,Wismar,,Germany,,,
Arminia Bielefeld,Bielefeld,,Germany,,,
Arminia Hannover,Hannover,,Germany,,,
FC Augsburg,Augsburg,,Germany,,,
SV Babelsberg 03,Potsdam,,Germany,,,
KSV Baunatal,Baunatal,,Germany,,,
Bayer 04 Leverkusen,Leverkusen,,Germany,,,50109.png
FC Bayern Alzenau,Alzenau,,Germany,,,
SpVgg Bayern Hof,Hof,,Germany,,,
FC Bayern Munich,Munich,,Germany,,,50037.png
SpVgg Bayreuth,Bayreuth,,Germany,,,
Berliner SV,Berlin,,Germany,,,
Bischofswerdaer FV 08,Bischofswerda,,Germany,,,
Blau-Weiß Berlin,Berlin,,Germany,,,
1. FC Bocholt,Bocholt,,Germany,,,
VfL Bochum,Bochum,,Germany,,,
Bonner SC,Bonn,,Germany,,,
Borussia Dortmund,Dortmund,,Germany,,,52758.png
Borussia Mönchengladbach,Mönchengladbach,,Germany,,,
Borussia Neunkirchen,Neunkirchen,,Germany,,,
OSC Bremerhaven,Bremerhaven,,Germany,,,
VfR Bürstadt,Bürstadt,,Germany,,,
Carl Zeiss Jena,Jena,,Germany,,,
SCC Berlin,Berlin,,Germany,,,
Chemie Böhlen,Böhlen,,Germany,,,
Chemnitzer FC,Chemnitz,,Germany,,,
BV Cloppenburg,Cloppenburg,,Germany,,,
SV Darmstadt 98,Darmstadt,,Germany,,,
SV Dessau 05,Dessau,,Germany,,,
Dresdner SC,Dresden,,Germany,,,
MSV Duisburg,Duisburg,,Germany,,,
Berliner FC Dynamo,Berlin,,Germany,,,
Dynamo Dresden,Dresden,,Germany,,,
VfB Einheit zu Pankow,Berlin,,Germany,,,
Eintracht Bad Kreuznach,Bad Kreuznach,,Germany,,,
Eintracht Bamberg,Bamberg,,Germany,,,
Eintracht Braunschweig,Braunschweig,,Germany,,,
Eintracht Frankfurt,Frankfurt,,Germany,,,
Eintracht Schwerin,Schwerin,,Germany,,,
Eintracht Trier,Trier,,Germany,,,
SV Elversberg,Spiesen-Elversberg,,Germany,,,
Energie Cottbus,Cottbus,,Germany,,,
VfB Eppingen,Eppingen,,Germany,,,
SpVgg Erkenschwick,Oer-Erkenschwick,,Germany,,,
Erzgebirge Aue,Aue,,Germany,,,
Fortuna Babelsberg,Potsdam,,Germany,,,
Fortuna Köln,Köln,,Germany,,,
Fortuna Düsseldorf,Düsseldorf,,Germany,,,
FSV Frankfurt,Frankfurt,,Germany,,,
Frankfurter FC Viktoria,Frankfurt (Oder),,Germany,,,
Freiburger FC,Freiburg,,Germany,,,
SC Freiburg,Freiburg,,Germany,,,
FV Gera Süd,Gera,,Germany,,,
FSV Glückauf Brieske-Senftenberg,Senftenberg,,Germany,,,
Goslarer SC 08,Goslar,,Germany,,,
Göttingen 05,Göttingen,,Germany,,,
SpVgg Greuther Fürth,Fürth,,Germany,,,
SG SonnenhofGroßaspach,Aspach,,Germany,,,
TSV Großbardorf,Großbardorf,,Germany,,,
FC Gütersloh 2000,Gütersloh,,Germany,,,
Hallescher FC,Halle,,Germany,,,
Hamburger SV,Hamburg,,Germany,,,
FC Hanau 93,Hanau,,Germany,,,
Hannover 96,Hannover,,Germany,,,57488.png
F.C. Hansa Rostock,Rostock,,Germany,,,
TSV Havelse,Garbsen,,Germany,,,
1. FC Heidenheim,Heidenheim,,Germany,,,
FC Heilbronn,Heilbronn,,Germany,,,
SC Herford,Herford,,Germany,,,
KSV Hessen Kassel,Kassel,,Germany,,,
Hertha BSC,Berlin,,Germany,,,
TSG 1899 Hoffenheim,Sinsheim,,Germany,,,
Holstein Kiel,Kiel,,Germany,,,
FC 08 Homburg,Homburg,,Germany,,,
HSV Barmbek-Uhlenhorst,Hamburg,,Germany,,,
FC Ingolstadt 04,Ingolstadt,,Germany,,,
SSV Jahn Regensburg,Regensburg,,Germany,,,
1. FC Kaiserslautern,Kaiserslautern,,Germany,,,
Karlsruher FV,Karlsruhe,,Germany,,,
Karlsruher SC,Karlsruhe,,Germany,,,
Kickers Emden,Emden,,Germany,,,
Kickers Offenbach,Offenbach,,Germany,,,
Kickers Würzburg,Würzburg,,Germany,,,
KFC Uerdingen 05,Krefeld,,Germany,,,
1. FC Kleve,Kleve,,Germany,,,
TuS Koblenz,Koblenz,,Germany,,,
1. FC Köln,Köln,,Germany,,,
SV Lichtenberg 47,Berlin,,Germany,,,
Sportfreunde Lotte,Lotte,,Germany,,,
1. FC Lokomotive Leipzig,Leipzig,,Germany,,,
Lokomotive Stendal,Stendal,,Germany,,,
VfB Lübeck,Lübeck,,Germany,,,
1. FC Magdeburg,Magdeburg,,Germany,,,
VfR Mannheim,Mannheim,,Germany,,,
FSV Mainz 05,Mainz,,Germany,,,
Meeraner SV,Meerane,,Germany,,,
SV Meppen,Meppen,,Germany,,,
SV Merseburg,Merseburg,,Germany,,,
ZFC Meuselwitz,Meuselwitz,,Germany,,,
SV Motor Altenburg,Altenburg,,Germany,,,
1. FC Mülheim,Mülheim an der Ruhr,,Germany,,,
1. FC Neubrandenburg,Neubrandenburg,,Germany,,,
1. FC Nuremberg,Nuremberg,,Germany,,,
FC Oberneuland,Bremen,,Germany,,,
FSV Oggersheim,Ludwigshafen,,Germany,,,
VfB Oldenburg,Oldenburg,,Germany,,,
TSR Olympia Wilhelmshaven,Wilhelmshaven,,Germany,,,
VfL Osnabrück,Osnabrück,,Germany,,,
OSV Hannover,Hannover,,Germany,,,
SC Paderborn 07,Paderborn,,Germany,,,
1. FC Pforzheim,Pforzheim,,Germany,,,
SC Pfullendorf,Pfullendorf,,Germany,,,
FK Pirmasens,Pirmasens,,Germany,,,
VFC Plauen,Plauen,,Germany,,,
FC Pommern Stralsund,Stralsund,,Germany,,,
Preußen Münster,Münster,,Germany,,,
FC Remscheid,Remscheid,,Germany,,,
SSV Reutlingen,Reutlingen,,Germany,,,
Röchling Völklingen,Völklingen,,Germany,,,
Rot-Weiss Ahlen,Ahlen,,Germany,,,
Rot-Weiss Essen,Essen,,Germany,,,
FC Rot-Weiß Erfurt,Erfurt,,Germany,,,
Rot-Weiß Oberhausen,Oberhausen,,Germany,,,
1. FC Saarbrücken,Saarbrücken,,Germany,,,
Chemie Leipzig,Leipzig,,Germany,,,
FSV Salmrohr,Salmrohr,,Germany,,,
SV Sandhausen,Sandhausen,,Germany,,,
FC Schalke 04,Gelsenkirchen,,Germany,,,57388.png
Schwarz-Weiß Essen,Essen,,Germany,,,
FC Schweinfurt 05,Schweinfurt,,Germany,,,
BSV 07 Schwenningen,Schwenningen,,Germany,,,
Spandauer SV,Berlin,,Germany,,,
Sportfreunde Siegen,Siegen,,Germany,,,
FC St. Pauli,Hamburg,,Germany,,,
FC Stahl Brandenburg,Brandenburg an der Havel,,Germany,,,
Eisenhüttenstädter FC Stahl,Eisenhüttenstadt,,Germany,,,
TSV Stahl Riesa,Riesa,,Germany,,,
SV Stahl Thale,Thale,,Germany,,,
Stuttgarter Kickers,Stuttgart,,Germany,,,
VfB Stuttgart,Stuttgart,,Germany,,,
1. Suhler SV,Suhl,,Germany,,,
SC Tasmania 1900 Berlin,Berlin,,Germany,,,
Tennis Borussia Berlin,Berlin,,Germany,,,
Türkiyemspor Berlin,Berlin,,Germany,,,
SSV Ulm 1846,Ulm,,Germany,,,
1. FC Union Berlin,Berlin,,Germany,,,
1. FC Union Solingen,Solingen,,Germany,,,
SpVgg Unterhaching,Munich,,Germany,,,
SC Verl,Verl,,Germany,,,
Viktoria Aschaffenburg,Aschaffenburg,,Germany,,,
BFC Viktoria 1889,Berlin,,Germany,,,
FC Viktoria Köln 1904,Köln,,Germany,,,
SG Wattenscheid 09,Wattenscheid,,Germany,,,
Wacker Burghausen,Burghausen,,Germany,,,
SV Waldhof Mannheim,Mannheim,,Germany,,,
DSC Wanne-Eickel,Wanne-Eickel,,Germany,,,
SV Wehen Wiesbaden,Taunusstein(Wiesbaden),,Germany,,,
SpVgg Weiden,Weiden,,Germany,,,
SC 1903 Weimar,Weimar,,Germany,,,
1. FC Weißenfels,Weißenfels,,Germany,,,
SV Werder Bremen,Bremen,,Germany,,,
SC Westfalia Herne,Herne,,Germany,,,
SV Wilhelmshaven,Wilhelmshaven,,Germany,,,
VfL Wolfsburg,Wolfsburg,,Germany,,,64332.png
Wormatia Worms,Worms,,Germany,,,
Wuppertaler SV,Wuppertal,,Germany,,,
1. FC Zeitz,Zwickau,,Germany,,,
FSV Zwickau,Zwickau,,Germany,,,
Akhisar Belediyespor,Manisa,Manisa 19 May?s Stadium,Turkey,,,
Be?ikta?,?stanbul,Atatürk Olympic Stadium,Turkey,,,
Bursaspor,Bursa,Bursa Atatürk Stadium,Turkey,,,5295.png
Çaykur Rizespor,Rize,Yeni Rize ?ehir Stad?,Turkey,,,
Eski?ehirspor,Eski?ehir,Eski?ehir Atatürk Stadium,Turkey,,,
Fenerbahçe,?stanbul,?ükrü Saraco?lu Stadium,Turkey,,,52692.png
Galatasaray,?stanbul,Türk Telekom Arena,Turkey,,,50067.png
Gaziantepspor,Gaziantep,Kamil Ocak Stadium,Turkey,,,
Gençlerbirli?i,Ankara,Ankara 19 May?s Stadium,Turkey,,,
Karabükspor,Karabük,Dr. Necmettin ?eyho?lu Stadium,Turkey,,,
Kas?mpa?a,?stanbul,Recep Tayyip Erdo?an Stadium,Turkey,,,
Kayseri Erciyesspor,Kayseri,Kadir Has Stadium,Turkey,,,
Kayserispor,Kayseri,Kadir Has Stadium,Turkey,,,
Torku Konyaspor,Konya,Konya Atatürk Stadium,Turkey,,,
Medical Park Antalyaspor,Antalya,Akdeniz University Stadium,Turkey,,,
Elaz??spor,Elaz??,Elaz?? Atatürk Stadium,Turkey,,,
Sivasspor,Sivas,Sivas 4 Eylül Stadium,Turkey,,,
Trabzonspor,Trabzon,Hüseyin Avni Aker Stadium,Turkey,,,
1461 Trabzon,Trabzon,,Turkey,1998,,
Adana Demirspor,Adana,,Turkey,1965,,
Adanaspor,Adana,,Turkey,1954,,
Ankaraspor A.?.,Ankara,,Turkey,1978,,
Bal?kesirspor,Bal?kesir,,Turkey,1966,,
Boluspor,Bolu,,Turkey,1965,,
Bucaspor,?zmir,,Turkey,1928,,
Denizlispor,Denizli,,Turkey,1966,,
Fethiyespor,Mu?la,,Turkey,1933,,
Gaziantep B.B.,Gaziantep,,Turkey,1998,,
?stanbul BBSK,Istanbul,,Turkey,1990,,
Kahramanmara?spor,Kahramanmara?,,Turkey,1969,,
Kar??yaka,?zmir,,Turkey,1912,,
Manisaspor,Manisa,,Turkey,1965,,
Mersin ?dman Yurdu,Mersin,,Turkey,1925,,
Orduspor,Ordu,,Turkey,1967,,
Samsunspor,Samsun,,Turkey,1965,,
?anl?urfaspor,?anl?urfa,,Turkey,1969,,
TK? Tav?anl? Linyitspor,Kütahya,,Turkey,1943,,
A.Académica de Coimbra,Coimbra,,Portugal,,,
FC Arouca,Arouca,,Portugal,,,
CF Os Belenenses1,Lisbon,,Portugal,,,
S.L. Benfica,Lisbon,,Portugal,,,
Boavista F.C.,Porto,,Portugal,,,
SC Braga,Braga,,Portugal,,,
GD Estoril-Praia,Estoril,,Portugal,,,
Gil Vicente F.C.,Barcelos,,Portugal,,,
CS Marítimo,"Funchal, Madeira",,Portugal,,,
Moreirense FC,Moreira de Cónegos,,Portugal,,,
CD Nacional,"Funchal, Madeira",,Portugal,,,
F.C. Paços de Ferreira,Paços de Ferreira,,Portugal,,,
F.C. Penafiel,Penafiel,,Portugal,,,
F.C. Porto,Porto,,Portugal,,,
Rio Ave F.C.,Vila do Conde,,Portugal,,,
Sporting C. da Covilhã,Lisbon,,Portugal,,,
Vitória SC,Guimarães,,Portugal,,,
Vitória FC,Setúbal,,Portugal,,,
Académico de Viseu FC,Viseu,,Portugal,,,
Atlético Clube de Portugal,Lisbon,,Portugal,,,
CD Aves,Vila das Aves,,Portugal,,,
SC Beira-Mar,Aveiro,,Portugal,,,
S.L. Benfica B,Lisbon,,Portugal,,,
SC Braga B,Braga,,Portugal,,,
GD Chaves,Chaves,,Portugal,,,
SC Covilhã,Covilhã,,Portugal,,,
SC Farense,Faro,,Portugal,,,
CD Feirense,Santa Maria da Feira,,Portugal,,,
SC Freamunde,Freamunde,,Portugal,,,
Leixões SC,Matosinhos,,Portugal,,,
CS Marítimo B,"Funchal, Madeira Islands",,Portugal,,,
SC Olhanense,Olhão,,Portugal,,,
UD Oliveirense,Oliveira de Azeméis,,Portugal,,,
C. Oriental de Lisboa,Lisbon,,Portugal,,,
Portimonense SC,Portimão,,Portugal,,,
F.C. Porto B,Porto,,Portugal,,,
CD Santa Clara,"Ponta Delgada, Azores",,Portugal,,,
Sporting Clube de Portugal B,Lisbon,,Portugal,,,
CD Tondela,Tondela,,Portugal,,,
CD Trofense,Trofa,,Portugal,,,
CF União,"Funchal, Madeira Islands",,Portugal,,,
Vitória SC B,Guimarães,,Portugal,,,
Bastia,,,France,,,
Bordeaux,,,France,,,
Caen,,,France,,,
Evianb,,,France,,,
Guingamp,,,France,,,
Lens,,,France,,,
Lille,,,France,,,
Lorient,,,France,,,
Lyon,,,France,,,5312.png
Marseillea,,,France,,,52748.png
Metza,,,France,,,
AS Monaco,,,France,,,
Montpelliera,,,France,,,
Nantes,,,France,,,
Nicea,,,France,,,
Paris Saint-Germain,,,France,,,52747.png
Rennesa,,,France,,,
Reims,,,France,,,
Saint-Étienne,,,France,,,
Toulouse,,,France,,,
Adolfsbergs IK,Örebro,,Sweden,,,
Agunnaryds IF,Ljungby,,Sweden,,,
Ahlafors IF,"Nödinge-Nol, Ale",,Sweden,,,
Akropolis IF,Stockholm,,Sweden,,,
Alby FF,Ånge,,Sweden,,,
Aledals IK,Habo,,Sweden,,,
Alets IK,Halmstad,,Sweden,,,
Alfredshems IK,Örnsköldsvik,,Sweden,,,
Alfta GOIF,Ovanåker,,Sweden,,,
Alingsås IF,Alingsås,,Sweden,,,
Almhögs Vingar IF,Malmö,,Sweden,,,
Alnö IF,Alnö,,Sweden,,,
Alsens IF,Alsen,,Sweden,,,
Alsjöholms IF,Nybro,,Sweden,,,
Alstermo IF,Alstermo,,Sweden,,,
Alterdalens IF,Altersbruk,,Sweden,,,
Alunda IF,Östhammar,,Sweden,,,
ADESG,Senador Guiomard,,Brazil,,,
Alto Acre,Epitaciolândia,,Brazil,,,
Andirá,Rio Branco,,Brazil,,,
Atlético,Rio Branco,,Brazil,,,
Galvez,Rio Branco,,Brazil,,,
Independência,Rio Branco,,Brazil,,,
Juventus,Rio Branco,,Brazil,,,
Náuas,Cruzeiro do Sul,,Brazil,,,
Plácido de Castro,Plácido de Castro,,Brazil,,,
Rio Branco,Rio Branco,,Brazil,,,
São Francisco,Rio Branco,,Brazil,,,
Vasco da Gama (AC),Rio Branco,,Brazil,,,
América (AL),São Luís do Quitunde,,Brazil,,,
ASA,Arapiraca,,Brazil,,,
Bandeirante (AL),Maceió,,Brazil,,,
Bom Jesus,Matriz de Camaragibe,,Brazil,,,
Capelense,Capela,,Brazil,,,
CEO,Olho d'Água das Flores,,Brazil,,,
Comercial,Viçosa,,Brazil,,,
Corinthians Alagoano,Maceió,,Brazil,,,
Coruripe,Coruripe,,Brazil,,,
CRB,Maceió,,Brazil,,,
CSA,Maceió,,Brazil,,,
CSE,Palmeira dos Índios,,Brazil,,,
Ferroviário (AL),Maceió,,Brazil,,,
Igreja Nova,Igreja Nova,,Brazil,,,
Ipanema,Santana do Ipanema,,Brazil,,,
Murici,Murici,,Brazil,,,
Penedense,Penedo,,Brazil,,,
Santa Rita,Boca da Mata,,Brazil,,,
São Domingos,Maceió,,Brazil,,,
São Sebastião,Porto Calvo,,Brazil,,,
Sport (AL),Atalaia,,Brazil,,,
Zumbi,União dos Palmares,,Brazil,,,
Barroso,Maceió,,Brazil,,,
Aliança,Santana,,Brazil,,,
Amapá,Macapá,,Brazil,,,
Cristal,Macapá,,Brazil,,,
Independente,Santana,,Brazil,,,
Macapá,Macapá,,Brazil,,,
Mazagão,Mazagão,,Brazil,,,
Oratório,Macapá,,Brazil,,,
Santana,Santana,,Brazil,,,
Santos (AP),Macapá,,Brazil,,,
São José (AP),Macapá,,Brazil,,,
São Paulo (AP),Macapá,,Brazil,,,
Trem,Macapá,,Brazil,,,
Ypiranga,Macapá,,Brazil,,,
América (AM),Manaus,,Brazil,,,
Clíper,Manaus,,Brazil,,,
Fast,Manaus,,Brazil,,,
Grêmio Coariense,Coari,,Brazil,,,
Holanda,Rio Preto da Eva,,Brazil,,,
Iranduba,Iranduba,,Brazil,,,
Libermorro,Manaus,,Brazil,,,
Manaus Compensão,Manaus,,Brazil,,,
Manicoré,Manicoré,,Brazil,,,
Nacional (AM),Manaus,,Brazil,,,
Olímpico,Manaus,,Brazil,,,
Operário (AM),Manacapuru,,Brazil,,,
Penarol,Itacoatiara,,Brazil,,,
Princesa do Solimões,Manacapuru,,Brazil,,,
Rio Negro,Manaus,,Brazil,,,
São Raimundo,Manaus,,Brazil,,,
Sul América,Manaus,,Brazil,,,
Tarumã,Manaus,,Brazil,,,
Manaos Athletic,Manaus,,Brazil,,,
Rodoviária,Manaus,,Brazil,,,
Astro,Feira de Santana,,Brazil,,,
Atlanta,Jequié,,Brazil,,,
Atlético de Alagoinhas,Alagoinhas,,Brazil,,,
Atlético Coiteense,Conceição do Coité,,Brazil,,,
Avenida,Ipiaú,,Brazil,,,
Bahia,Salvador,,Brazil,,,
Bahia de Feira,Feira de Santana,,Brazil,,,
Barreiras,Barreiras,,Brazil,,,
Botafogo de Salvador,Salvador,,Brazil,,,
Botafogo de Santo Amaro,Santo Amaro,,Brazil,,,
Camaçariense,Camaçari,,Brazil,,,
Camaçari,Camaçari,,Brazil,,,
Catuense,Catu,,Brazil,,,
Colo Colo,Ilhéus,,Brazil,,,
Comercial-BA,Serrinha,,Brazil,,,
Cruzeiro de Cruz das Almas,Cruz das Almas,,Brazil,,,
Eunápolis,Eunápolis,,Brazil,,,
Feirense,Feira de Santana,,Brazil,,,
